x,y,z,vx,vy,vz,ax,ay,az,v_mag,a_mag
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1.065814E-14,-0.003924534,8.940697E-08,0,-0.1962,0,0,0,0,0.1962,0
-0.001158494,-0.008322835,4.860386E-05,0,-0.2207484,0,-0.01604856,-0.0226366,-0.375442,0.2207484,0.376466
-0.00343765,-0.01316978,0.00014247,0.001288905,-0.2453016,-5.480177E-05,-0.03193696,-0.04504703,-0.7471293,0.245305,0.7491671
-0.006772823,-0.01841536,0.0002759136,0.005142515,-0.2698932,-0.0002169149,-0.04766624,-0.06723306,-1.1151,0.2699423,1.118141
-0.01107099,-0.02398716,0.0004405938,0.01282238,-0.2946138,-0.0005348168,-0.06323826,-0.08919733,-1.479391,0.2948932,1.483426
-0.01620844,-0.02979314,0.0006256588,0.02557258,-0.3196371,-0.0010512,-0.07865468,-0.110942,-1.840039,0.3206602,1.845058
-0.02008672,-0.03440196,0.0009528063,0.05330054,-0.2674186,-0.002143308,-0.08187632,0.3156013,-1.724843,0.2726871,1.755389
-0.0225355,-0.03789368,0.00144159,0.08957113,-0.2163064,-0.003843343,-0.06977898,0.7379118,-1.611519,0.23415,1.773803
-0.0233951,-0.04034724,0.002087522,0.1337606,-0.166494,-0.006481438,-0.0426841,1.155525,-1.5002,0.2136683,1.894112
-0.0225163,-0.04183969,0.002861362,0.1852345,-0.1181197,-0.01043451,-0.0009341688,1.568027,-1.391138,0.2199385,2.096181
-0.01976098,-0.04244542,0.003708642,0.2433419,-0.07127014,-0.01611065,0.0551056,1.975052,-1.284702,0.2540753,2.356762
-0.01393512,-0.04226054,0.003523581,0.3141046,-0.0007442087,-0.02475074,0.3952924,2.099097,-0.7710772,0.3150791,2.270909
-0.005079813,-0.04134063,0.002155643,0.3885906,0.06873359,-0.03433536,0.7549631,2.212565,-0.2762758,0.3961134,2.35409
0.006714687,-0.03965458,-0.0005289353,0.4641351,0.1379364,-0.04322991,1.132989,2.315581,0.1989575,0.4861242,2.585569
0.02130998,-0.03708587,-0.00463907,0.5382696,0.2076097,-0.04957053,1.528279,2.408612,0.6538261,0.5790451,2.926523
0.03851761,-0.03343613,-0.01024738,0.6087261,0.2783511,-0.05124956,1.939763,2.49245,1.087493,0.6713072,3.340304
0.05518483,-0.0293349,-0.01582755,0.6555204,0.2761557,-0.04739069,1.854168,2.418606,0.6812461,0.7128919,3.12277
0.07127687,-0.02486257,-0.02111695,0.6999756,0.2743462,-0.03853566,1.750922,2.3591,0.28115,0.7528058,2.951293
0.08681241,-0.02008381,-0.02587238,0.743867,0.2723923,-0.02495872,1.63039,2.313377,-0.1115213,0.7925646,2.83237
0.1018592,-0.01504631,-0.02987161,0.7889183,0.2698268,-0.007114246,1.493094,2.281001,-0.495594,0.8338161,2.770904
0.1165305,-0.009780526,-0.03291474,0.8367817,0.2662132,0.01437842,1.339698,2.261652,-0.8699924,0.8782254,2.76889
0.1345698,-0.004250839,-0.0349273,0.8961648,0.2872454,0.04208042,1.208298,2.335015,-0.1269276,0.9420149,2.632184
0.1560248,0.00149402,-0.03608496,0.957449,0.3074255,0.07220472,1.112895,2.390068,0.6155167,1.008183,2.707364
0.1808756,0.007533982,-0.03657759,1.017555,0.3276609,0.104245,1.053138,2.427203,1.355242,1.074079,2.972725
0.2090271,0.01407367,-0.03659643,1.073379,0.3487744,0.1380399,1.028831,2.447379,2.090198,1.137031,3.378917
0.2402944,0.02143295,-0.03632062,1.121786,0.3713518,0.1737712,1.039893,2.452097,2.818376,1.194363,3.877809
0.2705967,0.02776356,-0.0351366,1.14278,0.2974644,0.1949585,0.768895,2.223818,2.421181,1.196845,3.376193
0.2999124,0.03285854,-0.03288134,1.158801,0.2241393,0.2172083,0.4944219,1.990657,2.036501,1.200099,2.890416
0.3282484,0.03655314,-0.02942848,1.170708,0.1511599,0.240119,0.2172554,1.752372,1.664277,1.204601,2.426484
0.3556279,0.03872725,-0.0246848,1.179315,0.07842197,0.2632062,-0.06192495,1.508837,1.304436,1.210872,1.99549
0.3820814,0.03930354,-0.01858701,1.185389,0.005903959,0.2859189,-0.342542,1.260036,0.9569024,1.219398,1.618854
0.4085339,0.03981526,-0.01236797,1.191938,2.624094E-05,0.3192956,-0.1424252,1.023404,0.90375,1.233963,1.372736
0.4349111,0.0402558,-0.006016145,1.195722,-0.005663931,0.352024,0.05878196,0.7925936,0.8477046,1.246476,1.162008
0.4611476,0.04062162,0.0004950464,1.196795,-0.01135153,0.384938,0.260915,0.56756,0.7887725,1.257229,1.006163
0.487187,0.04091117,0.007206524,1.195244,-0.01721725,0.4188485,0.463832,0.3482698,0.7269883,1.266625,0.9300236
0.512981,0.04112539,0.01417296,1.19117,-0.02344672,0.4545425,0.6674126,0.1346961,0.6624159,1.275165,0.9499355
0.5376819,0.04031956,0.02304821,1.185619,-0.05757348,0.4872643,0.3029699,-0.05448876,0.3225514,1.283135,0.4458691
0.5612852,0.03845185,0.03383405,1.178988,-0.09194075,0.5209607,-0.05625184,-0.2420608,-0.0154427,1.292233,0.2489903
0.5837849,0.03553252,0.04650564,1.172243,-0.1262682,0.5544428,-0.4103149,-0.4280249,-0.3515657,1.302883,0.68932
0.6051738,0.0316225,0.06101139,1.166357,-0.1602821,0.586541,-0.7592782,-0.6124074,-0.685809,1.315336,1.192426
0.6254469,0.02683082,0.07727107,1.162322,-0.1937597,0.6161114,-1.103195,-0.7952535,-1.018158,1.32971,1.698857
0.6473244,0.02296124,0.09391291,1.160791,-0.1735345,0.6504601,-1.043547,-0.645443,-0.4553328,1.341882,1.308784
0.6708517,0.01996192,0.1108774,1.160819,-0.1526328,0.6802748,-0.9902712,-0.4860383,0.09937777,1.354095,1.107586
0.696012,0.01783592,0.1280962,1.160147,-0.1311839,0.705781,-0.9431778,-0.317279,0.6457924,1.364286,1.186296
0.7227267,0.0166392,0.145488,1.156512,-0.1093205,0.7271639,-0.9022062,-0.1394648,1.183768,1.370488,1.494902
0.7508537,0.01647529,0.162956,1.147657,-0.08725485,0.7445924,-0.8674176,0.04704564,1.713198,1.37082,1.920852
0.7774329,0.01605624,0.1803007,1.133172,-0.08983192,0.7567144,-0.712878,-0.08799464,1.317768,1.365564,1.500816
0.8023971,0.01526809,0.1974894,1.113568,-0.09270529,0.7660478,-0.5556538,-0.2231627,0.9284815,1.354791,1.104821
0.8257062,0.01403035,0.2144894,1.09034,-0.09588508,0.7731387,-0.3957887,-0.3583204,0.5452871,1.340067,0.7631384
0.8473436,0.0122958,0.2312661,1.064964,-0.09928052,0.7785284,-0.2333457,-0.4933718,0.168138,1.322918,0.5710834
0.8673152,0.01005036,0.2477831,1.038892,-0.10274,0.7827646,-0.06840212,-0.6282623,-0.2030066,1.304827,0.6637802
0.8861985,0.008246422,0.2643938,1.009156,-0.07262006,0.7870474,-0.08374382,-0.6048365,-0.369635,1.28184,0.7137719
0.9040276,0.006901622,0.281073,0.981046,-0.04227977,0.7906011,-0.09676429,-0.5818173,-0.5348076,1.26067,0.7961745
0.9208507,0.006040215,0.2977957,0.9553239,-0.01164542,0.7934029,-0.1075081,-0.5592184,-0.6985098,1.241881,0.9012209
0.93673,0.005691469,0.3145377,0.9327462,0.01933154,0.7954465,-0.1160197,-0.5370604,-0.8607297,1.22602,1.021151
0.9517422,0.00588955,0.3312753,0.9140645,0.05066751,0.7967408,-0.1223449,-0.5153699,-1.021457,1.213621,1.15063
0.9670938,0.007216036,0.3476898,0.8990895,0.09752704,0.7973472,-0.05502185,-0.382946,-0.8207465,1.205668,0.9073587
0.9828714,0.009640589,0.3637924,0.8881029,0.1446001,0.7975867,0.01224977,-0.2527266,-0.6216743,1.202406,0.6711928
0.9991377,0.01314028,0.3795977,0.8801407,0.1917909,0.7978379,0.07944943,-0.1246895,-0.4242239,1.203319,0.4492501
1.015932,0.01770002,0.3951224,0.8742426,0.2390399,0.7984585,0.14656,0.001189289,-0.2283797,1.207881,0.2713642
1.03327,0.02331293,0.4103858,0.8694566,0.2863103,0.7997929,0.213572,0.1249359,-0.03413267,1.215564,0.2497739
1.050161,0.02912831,0.4257548,0.8654791,0.2999412,0.8018494,0.205098,0.06780972,-0.147213,1.217366,0.2614097
1.06662,0.03514963,0.4412458,0.8621227,0.3135726,0.8047716,0.1963904,0.01173952,-0.2593808,1.220344,0.325554
1.082673,0.04138221,0.4568737,0.8598556,0.3272056,0.8085186,0.1874574,-0.04328771,-0.3706427,1.224793,0.4176005
1.098352,0.04783423,0.4726512,0.8591404,0.3408341,0.813051,0.1783072,-0.09728466,-0.481003,1.230992,0.5221319
1.113701,0.05451539,0.4885893,0.8604341,0.3544423,0.8183323,0.1689495,-0.1502632,-0.5904672,1.239211,0.6322772
1.129639,0.06166273,0.5047684,0.8642482,0.3713459,0.8244256,0.116764,-0.08743887,-0.4292872,1.2508,0.4533948
1.1462,0.06926009,0.5212017,0.8698806,0.3881941,0.8310248,0.06535551,-0.02517299,-0.2696641,1.264116,0.2786104
1.163403,0.07729685,0.5378956,0.8766586,0.405,0.8379055,0.01471412,0.03653748,-0.1115804,1.278531,0.1183287
1.181254,0.08576825,0.5548498,0.8839169,0.4217882,0.8448438,-0.03517042,0.09769657,0.04497629,1.293435,0.1131567
1.199743,0.09467506,0.5720575,0.890997,0.4385877,0.8516183,-0.08430698,0.1583085,0.2000211,1.308239,0.2686591
1.218296,0.1035874,0.5893127,0.8967809,0.4395763,0.8575368,-0.05715835,0.1310922,0.1859881,1.316363,0.2346141
1.236897,0.112505,0.6066121,0.9018465,0.4405917,0.8632156,-0.03021604,0.1042323,0.172055,1.323854,0.2034215
1.255535,0.1214278,0.6239543,0.9062451,0.4416268,0.8687654,-0.003480722,0.07772436,0.1582219,1.330815,0.1763161
1.274196,0.1303559,0.6413401,0.9100281,0.4426752,0.8742951,0.02304861,0.05156451,0.1444867,1.33735,0.1551339
1.29287,0.1392893,0.6587723,0.9132469,0.4437312,0.8799121,0.04937306,0.02574847,0.1308503,1.343563,0.1422057
1.311452,0.1482117,0.6764159,0.9159415,0.4439935,0.885699,0.02285367,0.0008113074,0.08581942,1.349275,0.08881397
1.329935,0.1571224,0.6942718,0.918299,0.4442575,0.8915756,-0.003358928,-0.02390111,0.04122851,1.354823,0.04777379
1.348319,0.1660213,0.7123388,0.9204917,0.4445238,0.8974401,-0.02926828,-0.04839076,-0.0029287,1.360259,0.05662928
1.366605,0.174909,0.7306134,0.9226903,0.4447933,0.9031917,-0.05487799,-0.07265965,-0.04665451,1.365633,0.1023116
1.384796,0.1837864,0.74909,0.925064,0.4450669,0.908731,-0.08019138,-0.09670968,-0.08995293,1.370992,0.1545152
1.403232,0.1928347,0.7676314,0.9278731,0.4520265,0.9141379,-0.0703899,-0.07458819,-0.03082486,1.37874,0.1070902
1.421914,0.202053,0.7862331,0.9307997,0.4589918,0.9192631,-0.06076051,-0.05261138,0.02769484,1.3864,0.0850106
1.440836,0.2114415,0.8048908,0.9336084,0.4659647,0.9241444,-0.0513007,-0.03077873,0.0856135,1.39384,0.104445
1.459991,0.2210007,0.8236009,0.9360663,0.472947,0.9288189,-0.04200728,-0.009089585,0.1429359,1.40093,0.1492579
1.479364,0.2307321,0.8423603,0.9379426,0.4799394,0.933323,-0.03287903,0.01245642,0.1996693,1.40754,0.2027413
1.498553,0.2404418,0.8611944,0.9389765,0.4808592,0.9375624,-0.02335907,-0.01894863,0.1365809,1.411356,0.1398536
1.517549,0.2501285,0.8801016,0.9394705,0.481783,0.94171,-0.01382564,-0.05004265,0.07414196,1.414757,0.09051213
1.536349,0.259792,0.8990809,0.9396679,0.4827085,0.9458034,-0.00427951,-0.08082897,0.01234435,1.417931,0.08187808
1.554954,0.2694324,0.9181312,0.9398102,0.4836344,0.9498802,0.005277216,-0.1113103,-0.04881679,1.421062,0.121659
1.573368,0.279051,0.9372522,0.9401357,0.4845595,0.9539784,0.01484365,-0.1414897,-0.1093473,1.424334,0.1794339
1.59189,0.2888194,0.9564888,0.9409013,0.4909173,0.9582512,0.001905062,-0.1277128,-0.0810423,1.429874,0.1512681
1.610523,0.2987373,0.9758415,0.9419842,0.4972733,0.9625341,-0.01095349,-0.1140538,-0.05305273,1.435649,0.126265
1.629272,0.308804,0.9953094,0.9432724,0.5036291,0.9667754,-0.02373257,-0.1005118,-0.02537611,1.441548,0.1063476
1.648137,0.3190192,1.014891,0.9446549,0.5099862,0.9709231,-0.03643157,-0.08708584,0.001993373,1.447464,0.09442021
1.667117,0.3293829,1.034583,0.9460222,0.5163462,0.9749257,-0.04905171,-0.07377495,0.02905669,1.45329,0.09323683
1.686124,0.3398209,1.054314,0.947251,0.5202608,0.9786854,-0.03661256,-0.07621607,0.03033481,1.458006,0.08983079
1.705156,0.3503332,1.074081,0.9483528,0.5241787,0.9823005,-0.02429722,-0.07862436,0.03162007,1.462549,0.08815879
1.72421,0.3609199,1.093883,0.9493224,0.528099,0.9858198,-0.01210635,-0.08100018,0.03291186,1.46695,0.08826541
1.743283,0.3715808,1.113719,0.9501546,0.5320207,0.9892922,-3.659732E-05,-0.08334409,0.03421171,1.471237,0.09009262
1.762374,0.3823164,1.13359,0.9508441,0.535943,0.9927657,0.01191069,-0.08565626,0.0355191,1.47544,0.09349045
1.781412,0.3930939,1.153555,0.9513818,0.5385026,0.996264,0.005671603,-0.09480381,0.01632199,1.479072,0.09636565
1.800399,0.4039137,1.173615,0.9518479,0.5410619,0.9997857,-0.0004654428,-0.1038599,-0.002696254,1.482678,0.1038959
1.819333,0.4147758,1.193769,0.9523174,0.5436212,1.003307,-0.006503399,-0.1128253,-0.02153575,1.48629,0.1150462
1.838217,0.4256805,1.214016,0.9528646,0.5461808,1.006803,-0.01244276,-0.1217008,-0.04019967,1.489938,0.1287708
1.857056,0.4366281,1.234354,0.9535632,0.5487408,1.010251,-0.01828521,-0.1304873,-0.05869057,1.493655,0.1442424
