x,y,z,vx,vy,vz,ax,ay,az,v_mag,a_mag
0,0,0,0,0,0,0,0,0,0,0
8.881784E-16,-0.003924042,7.450581E-09,0,-0.1962,0,0,0,0,0.1962,0
-0.0002620316,-0.007631555,-3.498048E-05,0,-0.1849452,0,0.01152509,0.01599577,-0.09023301,0.1849452,0.09236173
-0.0007760646,-0.01112102,-0.0001034141,0.0003743928,-0.1736908,4.775967E-05,0.02293448,0.03183147,-0.1795639,0.1736912,0.1837999
-0.001524741,-0.01438965,-0.0002025589,0.001493868,-0.1624391,0.0001902002,0.03422975,0.04750896,-0.268001,0.1624461,0.2743234
-0.002483422,-0.01743336,-0.0003285594,0.003725469,-0.1511966,0.0004730663,0.04541193,0.06302978,-0.355554,0.1512432,0.3639418
-0.003256543,-0.02015179,-0.0003801472,0.007504177,-0.1359715,0.0009496121,0.02487591,0.08300748,-0.3243038,0.1361817,0.3356814
-0.003817363,-0.02254787,-0.0003559552,0.01265499,-0.1207756,0.001523926,0.004725363,0.102901,-0.2933221,0.1214463,0.3108839
-0.00414173,-0.02462411,-0.0002565943,0.01904703,-0.1056136,0.002106338,-0.01504482,0.1227091,-0.2626076,0.107338,0.2902527
-0.004208049,-0.02638294,-8.456036E-05,0.02655042,-0.09048793,0.002608108,-0.03443943,0.1424308,-0.2321582,0.09433871,0.274536
-0.003997265,-0.02782635,0.0001557544,0.03503614,-0.0753991,0.002941558,-0.05346303,0.1620649,-0.2019722,0.0831938,0.2644165
-0.003453257,-0.02898572,0.0002451316,0.04443339,-0.05904669,0.003020699,-0.002194522,0.1770225,-0.1580775,0.07395919,0.23734
-0.002565395,-0.0298624,0.0001833364,0.05450279,-0.04272506,0.003056051,0.04876158,0.1916715,-0.1148025,0.06932044,0.2286816
-0.001326718,-0.03045685,-2.586469E-05,0.06506058,-0.02642724,0.003259114,0.09940488,0.2060164,-0.07213993,0.07029865,0.2398505
0.0002661357,-0.03076851,-0.0003747605,0.07592656,-0.01014565,0.00384049,0.1497357,0.2200615,-0.03008313,0.07669763,0.2678672
0.002213016,-0.0307959,-0.0008516535,0.08692424,0.006126761,0.005010061,0.1997546,0.2338116,0.01137502,0.0872838,0.3077323
0.00417347,-0.03049178,-0.001159135,0.09778802,0.02059396,0.006960466,0.1534894,0.1603692,-0.03706441,0.1001751,0.2250578
0.006154229,-0.0298577,-0.001284651,0.1088152,0.0350461,0.009522445,0.1074787,0.08784257,-0.08509497,0.1147155,0.1628163
0.008165538,-0.02889454,-0.001220193,0.1202057,0.0494732,0.01251752,0.06172249,0.01622093,-0.1327195,0.1305898,0.1472659
0.01022111,-0.02760249,-0.0009622499,0.1321563,0.06386547,0.01576879,0.01622098,-0.0545054,-0.1799401,0.1476237,0.1887125
0.01233808,-0.02598105,-0.0005116984,0.1448611,0.07821231,0.01910182,-0.02902634,-0.124347,-0.2267603,0.1657311,0.2602402
0.01505396,-0.02416255,-0.0001034737,0.1583566,0.09009759,0.02230836,0.01137919,-0.01904478,-0.1436346,0.183554,0.1453378
0.01837714,-0.02214971,0.0002656989,0.1724486,0.1019426,0.02556752,0.05164857,0.08507059,-0.06130091,0.2019517,0.1168862
0.02230886,-0.01994346,0.000599768,0.1868013,0.1137666,0.02901736,0.09178048,0.1880116,0.02024764,0.2206345,0.2101951
0.02684335,-0.01754199,0.0009032823,0.2010834,0.1255898,0.03279523,0.1317732,0.289791,0.101018,0.2393383,0.3339875
0.03196788,-0.01494168,0.001181673,0.2149684,0.1374309,0.03703973,0.1716263,0.390422,0.1810157,0.2578189,0.4633051
0.03711812,-0.01208815,0.001685325,0.2280421,0.1478264,0.04185829,0.1230808,0.2965349,0.1259252,0.274969,0.3448753
0.04228847,-0.008984208,0.002425719,0.2406254,0.158242,0.04710934,0.07493154,0.2035998,0.07144215,0.2918225,0.228411
0.04747703,-0.005631685,0.003409401,0.2529353,0.1686672,0.05261937,0.02717565,0.1116068,0.01756033,0.3085347,0.1162023
0.05268554,-0.002031475,0.004638048,0.265185,0.1790938,0.05821428,-0.0201896,0.02054617,-0.03572666,0.3252485,0.04589291
0.05791933,0.001816601,0.006108498,0.2775847,0.1895137,0.0637207,-0.06716786,-0.06959156,-0.08842496,0.342095,0.1310476
0.06346546,0.005854934,0.007719614,0.2902677,0.1987121,0.06893644,-0.07651296,-0.009814085,-0.08264109,0.3584607,0.1130491
0.0693304,0.01008344,0.009465044,0.3032893,0.2078969,0.07384039,-0.08566849,0.0493896,-0.07700739,0.3750439,0.1253338
0.07552038,0.01450148,0.01133728,0.3166318,0.2170696,0.07837944,-0.09463624,0.1080244,-0.07152157,0.3918141,0.1604389
0.08204141,0.01910909,0.01332742,0.3302775,0.2262311,0.08250062,-0.1034198,0.1660958,-0.06618133,0.4087421,0.2065513
0.08889924,0.02390575,0.01542544,0.3442079,0.2353825,0.08615124,-0.1120218,0.2236086,-0.0609847,0.4258004,0.2574273
