x,y,z,vx,vy,vz,ax,ay,az,v_mag,a_mag
-13.48972,5.82,21.38633,0,0,0,0,0,0,0,0
-13.48972,5.816076,21.38633,0,-0.1962,0,0,0,0,0.1962,0
-13.48987,5.812235,21.38624,-1.894646E-09,-0.1904559,-1.623907E-09,0.0396466,-0.04373747,-0.04972751,0.1904559,0.07718579
-13.49015,5.808475,21.38607,0.0002007684,-0.1847119,0.0001602123,0.07891195,-0.08703727,-0.09896189,0.1847121,0.15361
-13.49057,5.804801,21.38582,0.0008006762,-0.1789693,0.0006398377,0.1177618,-0.1299045,-0.1477089,0.1789722,0.2292617
-13.4911,5.801213,21.38551,0.001995286,-0.1732309,0.001597413,0.1562232,-0.1723429,-0.1959639,0.1732498,0.304154
-13.49174,5.797825,21.38529,0.004035176,-0.161568,0.003238247,0.1512055,-0.2456006,-0.245911,0.1616508,0.3790185
-13.49245,5.794639,21.38518,0.007087708,-0.1499235,0.005520163,0.1461409,-0.3179513,-0.2955973,0.1501924,0.4580697
-13.49322,5.791656,21.38518,0.01135241,-0.1383083,0.008432798,0.1410179,-0.3894043,-0.3450187,0.1390294,0.5390359
-13.49402,5.788879,21.38531,0.01702586,-0.1267364,0.01197019,0.1358481,-0.4599688,-0.3942032,0.1284339,0.6208238
-13.49481,5.78631,21.38557,0.02430177,-0.115226,0.01613158,0.130621,-0.5296543,-0.4431375,0.1188606,0.7028274
-13.49544,5.783947,21.38611,0.03332094,-0.1049413,0.02089573,0.07317398,-0.5597356,-0.4478018,0.1120696,0.7205448
-13.49586,5.781787,21.38693,0.04413335,-0.09475271,0.026073,0.01608491,-0.5889984,-0.4530963,0.1077294,0.743286
-13.49605,5.77983,21.38803,0.05675339,-0.08467197,0.03145467,-0.04062789,-0.617454,-0.4590146,0.1066756,0.7704508
-13.49598,5.778073,21.38941,0.07120018,-0.07471111,0.0368359,-0.09695337,-0.6451136,-0.4655453,0.1095815,0.8014386
-13.49562,5.776517,21.39107,0.08749781,-0.06488313,0.04201583,-0.1528724,-0.6719906,-0.4726692,0.1167519,0.8356779
-13.49478,5.775133,21.39282,0.1054212,-0.05808352,0.04673082,-0.1597793,-0.6727467,-0.4307932,0.1291166,0.814678
-13.49343,5.773912,21.39467,0.1250321,-0.05143118,0.05104985,-0.167187,-0.6733007,-0.3894436,0.144514,0.7955827
-13.49155,5.772851,21.39661,0.1461671,-0.04492375,0.05496517,-0.1750676,-0.673654,-0.3485956,0.1624935,0.7784454
-13.4891,5.771943,21.39863,0.168665,-0.03855547,0.05846491,-0.1834077,-0.6738067,-0.3082642,0.1826268,0.7633352
-13.48607,5.771184,21.40072,0.1923671,-0.03231753,0.06153313,-0.1922015,-0.673759,-0.2684646,0.2045382,0.7503105
-13.48245,5.770579,21.40287,0.2171898,-0.02560848,0.06415747,-0.1996562,-0.635069,-0.2347883,0.2279109,0.7059042
-13.47822,5.770126,21.40506,0.2429348,-0.01900865,0.06629293,-0.2072629,-0.5965995,-0.2016972,0.2525339,0.6630012
-13.47337,5.76982,21.40729,0.2694754,-0.01250653,0.06789985,-0.2150135,-0.5583503,-0.1691874,0.2781794,0.6217799
-13.46789,5.769659,21.40955,0.2966869,-0.006089658,0.06893541,-0.2229239,-0.5203184,-0.137257,0.3046511,0.5824653
-13.46176,5.769642,21.41182,0.3244471,0.0002550036,0.06935378,-0.2309715,-0.4825057,-0.1058921,0.3317769,0.545319
-13.45508,5.769735,21.41395,0.3525278,0.005768359,0.06910754,-0.1909973,-0.4775562,-0.1079944,0.359284,0.5255499
-13.44784,5.769938,21.41595,0.3810488,0.01121868,0.06836118,-0.1513717,-0.4727515,-0.1097118,0.3872949,0.5083739
-13.44003,5.770245,21.41779,0.4100209,0.01660317,0.06727623,-0.1121482,-0.4680817,-0.1110549,0.4158352,0.4939746
-13.43164,5.770657,21.41948,0.4394516,0.02192016,0.06601258,-0.07328022,-0.4635497,-0.1120356,0.4449224,0.4824938
-13.42266,5.77117,21.42103,0.4693457,0.02716883,0.06472865,-0.03478398,-0.4591501,-0.1126388,0.4745664,0.4740425
-13.41301,5.771702,21.42248,0.499018,0.02779436,0.06360719,-0.01670121,-0.42854,-0.08919719,0.5038227,0.4380429
-13.40268,5.77225,21.42384,0.5290502,0.0283663,0.06267586,0.001069859,-0.3982619,-0.06584297,0.5335045,0.4036694
-13.39167,5.772814,21.42513,0.559348,0.02889855,0.06198901,0.01849573,-0.3683071,-0.04258198,0.5635139,0.3712216
-13.37998,5.773392,21.42634,0.5898173,0.02940512,0.06159874,0.03560257,-0.3386752,-0.01941941,0.5937538,0.3410946
-13.3676,5.773984,21.4275,0.6203644,0.02989998,0.06155518,0.05242331,-0.3093664,0.003653694,0.6241274,0.3137979
-13.35459,5.774583,21.42865,0.6508644,0.03019147,0.06190643,0.05559723,-0.3150437,0.008072994,0.6544986,0.3200137
-13.34097,5.77519,21.42981,0.6813291,0.03048727,0.06266825,0.05871994,-0.3206696,0.01246656,0.684884,0.3262399
-13.32672,5.775803,21.43099,0.7117385,0.03078949,0.06385604,0.06176249,-0.3262405,0.01683393,0.7152603,0.3324618
-13.31185,5.776423,21.43219,0.7420726,0.03110023,0.06548473,0.06477033,-0.3317629,0.02117364,0.7456053,0.3386889
-13.29636,5.777051,21.43342,0.7723112,0.03142138,0.06756896,0.06772231,-0.3372345,0.02547015,0.7758979,0.3449089
-13.28025,5.777672,21.43464,0.8023329,0.03109519,0.07011436,0.08728609,-0.3140258,0.03200218,0.8059908,0.3274984
-13.26351,5.778288,21.43586,0.8322116,0.03078327,0.07318982,0.1065911,-0.291047,0.03863125,0.8359907,0.3123498
-13.24616,5.778898,21.43708,0.8619193,0.03048718,0.07685632,0.1256541,-0.2682985,0.045357,0.865876,0.299717
-13.22819,5.779504,21.43832,0.8914279,0.03020793,0.08117403,0.1444549,-0.2457754,0.05218204,0.8956257,0.2898202
-13.20961,5.780106,21.4396,0.920709,0.02994585,0.08620231,0.1630111,-0.2234777,0.05908268,0.9252204,0.2828528
-13.19046,5.780706,21.44108,0.9497357,0.02970952,0.09199998,0.135239,-0.2128601,0.05610644,0.9546437,0.2583542
