x,y,z,vx,vy,vz,ax,ay,az,v_mag,a_mag
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1.602012E-05,-0.00392428,-2.738088E-06,0.0008010059,-0.1961876,-0.000141441,0,0,0,0.1961892,0
4.450898E-05,-0.007840618,-6.124377E-06,0.001602012,-0.1958453,-0.000282882,-0.0007475304,-0.000802026,-0.0009662092,0.195852,0.001461372
8.557788E-05,-0.01174954,-1.014769E-05,0.002406816,-0.195503,-0.0004272617,-0.001487614,-0.001596032,-0.001922785,0.1955183,0.002908163
0.0001394135,-0.01565105,-1.494959E-05,0.003219177,-0.1951607,-0.000577488,-0.00222039,-0.00238206,-0.002869638,0.1951881,0.004340411
0.0002062759,-0.01954517,-2.072379E-05,0.004042819,-0.1948184,-0.0007364419,-0.00294603,-0.003160303,-0.003807051,0.1948617,0.005758493
0.0002864987,-0.02343187,-2.773106E-05,0.004881426,-0.1944761,-0.0009069719,-0.003664094,-0.003930726,-0.004735036,0.1945395,0.007162176
0.0003607931,-0.0273078,-4.060939E-05,0.005738711,-0.1939108,-0.001091948,-0.00295096,-0.008332491,-0.01121581,0.1939988,0.01428051
0.0004302722,-0.03117298,-5.958974E-05,0.00664014,-0.1933455,-0.001288524,-0.002244844,-0.01269073,-0.0176316,0.1934638,0.02183958
0.0004965528,-0.03502728,-8.483231E-05,0.007610964,-0.1927802,-0.0014939,-0.001545946,-0.01700572,-0.02398283,0.1929362,0.0294408
0.00056175,-0.03887074,-0.0001164712,0.008676185,-0.1922151,-0.001705285,-0.0008539232,-0.02127821,-0.03027014,0.1924184,0.03701045
0.000628471,-0.0427033,-0.0001545697,0.009860552,-0.1916502,-0.001919893,-0.0001687615,-0.02550851,-0.03649445,0.1919133,0.04452591
0.0007018846,-0.04651225,-0.0002248846,0.01119114,-0.1901246,-0.00213529,0.008974047,-0.03056019,-0.04177481,0.1904657,0.05253184
0.0007855194,-0.0502973,-0.0003264919,0.01268694,-0.1885996,-0.002314828,0.01802442,-0.03556801,-0.0469978,0.18904,0.06163405
0.0008833189,-0.05405852,-0.0004576966,0.01436859,-0.1870753,-0.002422531,0.0269836,-0.04053247,-0.052164,0.1876419,0.0713588
0.0009996394,-0.05779567,-0.0006161518,0.01625644,-0.1855521,-0.002422737,0.03585182,-0.0454537,-0.05727398,0.1862786,0.08143526
0.001139242,-0.06150857,-0.0007987954,0.01837057,-0.1840304,-0.002280088,0.0446305,-0.05033215,-0.06232823,0.1849591,0.09170613
0.001337401,-0.06509805,-0.0009733737,0.02076719,-0.1778934,-0.001948724,0.04419395,-0.03881735,-0.06173578,0.179112,0.08527131
0.001598967,-0.06856416,-0.001136251,0.02341319,-0.171759,-0.001437194,0.04377538,-0.0274177,-0.06113938,0.1733534,0.08003773
0.001928744,-0.07190696,-0.00128381,0.02630617,-0.1656277,-0.0007474518,0.04337435,-0.01613201,-0.06053935,0.1677054,0.07620098
0.002331494,-0.0751266,-0.001412496,0.02944383,-0.1594999,0.0001185115,0.04299096,-0.004959365,-0.05993569,0.1621948,0.07392635
0.002811933,-0.0782232,-0.00151879,0.03282389,-0.1533759,0.001158672,0.04262465,0.00610163,-0.05932865,0.1568532,0.07330743
0.003413063,-0.08114709,-0.001576874,0.03647557,-0.1450023,0.002386053,0.03498374,0.01401325,-0.04559568,0.1495387,0.05915403
0.004138157,-0.08389847,-0.001584157,0.04031419,-0.1366324,0.003755734,0.02742984,0.02184322,-0.03199245,0.1425053,0.04746619
0.004989392,-0.08647759,-0.00153866,0.04428438,-0.1282653,0.005236277,0.01996227,0.02959229,-0.01851783,0.1357958,0.04021326
0.005967862,-0.08888459,-0.00143908,0.04833131,-0.1199001,0.00679659,0.01258025,0.03726127,-0.005170687,0.1294532,0.03966611
0.007073581,-0.09111964,-0.001284704,0.05240069,-0.1115356,0.008405941,0.005282884,0.04485102,0.008050392,0.1235179,0.04587299
0.008282556,-0.09319864,-0.001082782,0.05642721,-0.1038972,0.0100277,0.0002525513,0.04177762,0.01625995,0.1186559,0.04483101
0.009593287,-0.09512147,-0.0008335598,0.06038892,-0.09625778,0.01164783,-0.004719831,0.03873333,0.02439169,0.1142281,0.04601632
0.01100361,-0.09688818,-0.0005376153,0.06425256,-0.08861668,0.0132463,-0.009634778,0.03571774,0.03244635,0.1102578,0.04920723
0.01251068,-0.09849872,-0.0001959652,0.06798515,-0.0809733,0.01480335,-0.01449264,0.03273069,0.04042418,0.1067604,0.0539949
0.01411103,-0.09995286,0.0001899861,0.07155403,-0.07332714,0.01629946,-0.01929442,0.02977207,0.04832666,0.1037426,0.05995095
0.01576849,-0.101286,0.0005967021,0.07490766,-0.0671993,0.0177037,-0.01704488,0.01963821,0.04752494,0.1021779,0.05417386
0.01747933,-0.102498,0.001022886,0.07806958,-0.06106858,0.019038,-0.01480875,0.009607614,0.04673369,0.1009291,0.04995641
0.01923986,-0.1035887,0.001467437,0.08104268,-0.05493534,0.02031194,-0.01258575,-0.0003209376,0.04595279,0.09999191,0.04764623
0.02104644,-0.1045583,0.001929432,0.08382982,-0.04879983,0.02153498,-0.0103762,-0.01014824,0.04518214,0.09936105,0.04745607
0.02289552,-0.1054066,0.002408139,0.08643386,-0.04266234,0.0227164,-0.008179829,-0.01987546,0.04442189,0.09902991,0.04934823
0.02477406,-0.1061359,0.002912462,0.08885576,-0.03675525,0.02386394,-0.009065781,-0.02293904,0.03894508,0.09907462,0.04609888
0.02667908,-0.1067461,0.003441639,0.09111966,-0.03084673,0.02497553,-0.009937968,-0.02597372,0.0335234,0.09938858,0.04355704
0.02860805,-0.1072374,0.003994852,0.09324743,-0.02493703,0.02604768,-0.01079649,-0.02897953,0.02815574,0.0999771,0.04182252
0.03055887,-0.1076096,0.004571185,0.0952607,-0.01902637,0.02707693,-0.01164206,-0.03195686,0.02284225,0.1008452,0.04097007
0.03252983,-0.107863,0.005169701,0.09718091,-0.0131149,0.02805986,-0.01247404,-0.03490597,0.01758201,0.1019975,0.04102628
0.0345219,-0.1080198,0.005775541,0.09902432,-0.008161813,0.02898803,-0.00880265,-0.03731436,0.01300176,0.1035024,0.04048326
0.03653417,-0.1080803,0.006388152,0.1008146,-0.003208295,0.02988155,-0.005163428,-0.03969852,0.008470521,0.1051988,0.04091923
0.03856613,-0.1080443,0.007007202,0.1025701,0.001745522,0.03075507,-0.001556878,-0.04205853,0.003987583,0.1070959,0.04227582
0.0406176,-0.1079118,0.007632665,0.1043086,0.006699413,0.03162312,0.002017673,-0.04439501,-0.0004475968,0.1092025,0.04444309
0.04268879,-0.1076828,0.008264793,0.106048,0.01165326,0.03250012,0.005560517,-0.04670783,-0.004835445,0.1115269,0.04728554
0.04479798,-0.1073365,0.008913599,0.1078104,0.01753262,0.03340517,0.006035374,-0.04396969,-0.004609534,0.1142207,0.0446207
0.04694551,-0.1068731,0.009579599,0.1095904,0.02341174,0.03433547,0.006505501,-0.041259,-0.004385159,0.1172053,0.04199829
0.04913168,-0.1062924,0.01026335,0.1113872,0.02929063,0.03529287,0.006970837,-0.03857569,-0.004162417,0.1204601,0.03942083
0.05135678,-0.1055945,0.01096546,0.1132001,0.03516927,0.03627921,0.007431824,-0.03591909,-0.003941213,0.123965,0.03689101
0.05362111,-0.1047794,0.01168657,0.115028,0.04104768,0.03729632,0.007887936,-0.03328937,-0.003721562,0.1277003,0.03441295
0.05594393,-0.1038378,0.01243478,0.1168721,0.04730405,0.03834824,0.005908184,-0.03039284,0.002666897,0.1317852,0.03107641
0.05832481,-0.1027697,0.01321057,0.1187047,0.05356033,0.0394247,0.00394422,-0.0275261,0.008990503,0.1360655,0.02922452
0.06076279,-0.1015753,0.01401424,0.1205002,0.0598167,0.04051768,0.001996033,-0.02468887,0.01525012,0.1404992,0.02908764
0.06325639,-0.1002544,0.01484591,0.1222334,0.06607331,0.04161923,6.325376E-05,-0.02188087,0.02144624,0.1450477,0.0306385
0.06580365,-0.09880701,0.01570555,0.1238792,0.07233031,0.04272142,-0.001854053,-0.01910172,0.02757953,0.1496758,0.03359975
0.0684039,-0.09724597,0.01660527,0.12541,0.07779582,0.04381156,-0.007851836,-0.01924477,0.03496194,0.1539458,0.0406737
0.07105403,-0.09557121,0.01754429,0.1267993,0.08326198,0.0448703,-0.01379232,-0.01938946,0.04226812,0.1581896,0.04850539
0.07375041,-0.09378271,0.01852133,0.1280176,0.08872889,0.0458736,-0.01967617,-0.01953557,0.04949918,0.1623753,0.05673587
0.07648878,-0.0918804,0.01953462,0.129036,0.09419654,0.04679767,-0.0255037,-0.01968312,0.05665555,0.1664731,0.0651745
0.07926431,-0.08986421,0.02058197,0.1298254,0.09966482,0.04761893,-0.03127553,-0.01983211,0.0637382,0.1704561,0.07371587
0.08204751,-0.08779757,0.02164387,0.1303613,0.1021639,0.04830167,-0.0315702,-0.02755699,0.06467039,0.1725242,0.07706053
0.08483324,-0.08568043,0.02271783,0.1306399,0.1046629,0.04885874,-0.03185245,-0.03520443,0.06559808,0.1743797,0.08097554
0.08761629,-0.08351284,0.02380131,0.1306573,0.1071614,0.04928878,-0.03212274,-0.04277521,0.06652106,0.1760235,0.08536182
0.09039137,-0.08129484,0.02489178,0.13041,0.109659,0.04959039,-0.03238096,-0.05026987,0.06743956,0.1774573,0.09013147
0.09315311,-0.07902637,0.02598662,0.1298943,0.1121553,0.04976214,-0.03262786,-0.05768943,0.06835318,0.178683,0.09520927
0.09587801,-0.07675221,0.02707898,0.1291241,0.1124744,0.04980057,-0.03148635,-0.06388129,0.06290451,0.1783357,0.09502203
0.09856133,-0.07447241,0.02816635,0.1281065,0.1127914,0.04971309,-0.03034178,-0.07001323,0.05751547,0.1777768,0.09555367
0.1011988,-0.07218711,0.02924627,0.126863,0.1131061,0.04950366,-0.0291938,-0.07608589,0.05218564,0.1770249,0.09677128
0.1037864,-0.06989637,0.03031637,0.1254145,0.1134186,0.04917623,-0.02804316,-0.08209967,0.04691439,0.176099,0.09862928
0.1063208,-0.06760029,0.03137434,0.123782,0.1137287,0.04873475,-0.02688977,-0.08805505,0.04170133,0.1750179,0.101073
0.1087976,-0.06533471,0.03241111,0.1220087,0.11234,0.0481867,-0.0234836,-0.09048771,0.03504707,0.1727089,0.09983888
0.1112141,-0.06309962,0.03342481,0.1200997,0.1109493,0.04754238,-0.02009802,-0.09289676,0.02846666,0.1702761,0.09921739
0.1135685,-0.06089509,0.03441378,0.1180807,0.1095567,0.04681462,-0.01673257,-0.09528236,0.02195954,0.1677419,0.09920146
0.1158594,-0.05872109,0.03537662,0.1159775,0.1081627,0.04601622,-0.01338793,-0.09764494,0.01552451,0.1651286,0.09977365
0.1180858,-0.05657776,0.03631221,0.113815,0.1067676,0.04515993,-0.01006362,-0.09998457,0.009161019,0.162458,0.1009065
0.1202609,-0.0544704,0.03722662,0.111624,0.1050099,0.04425989,-0.00906848,-0.09729351,0.00602058,0.1595178,0.09790052
0.1223843,-0.05239903,0.03811904,0.109411,0.1032517,0.04331874,-0.008077526,-0.09462977,0.002912445,0.1565509,0.09501854
0.124456,-0.05036368,0.03898874,0.1071882,0.1014932,0.04234046,-0.0070908,-0.09199328,-0.000162603,0.1535673,0.0922663
0.1264759,-0.04836427,0.03983504,0.1049677,0.09973456,0.04132905,-0.006108697,-0.08938365,-0.00320567,0.1505765,0.08964948
0.1284446,-0.04640077,0.04065737,0.1027612,0.09797601,0.0402885,-0.0051306,-0.08680045,-0.006216939,0.1475884,0.08717392
0.1303754,-0.04447892,0.0414563,0.100585,0.09592377,0.0392242,-0.00448505,-0.08349174,-0.005194114,0.1444204,0.08377329
0.1322688,-0.04259847,0.04223138,0.09843047,0.09387176,0.03813752,-0.00384764,-0.08021615,-0.004180904,0.1412619,0.08041713
0.1341249,-0.04075957,0.0429823,0.09629373,0.0918199,0.03703118,-0.003217667,-0.07697339,-0.003177098,0.1381111,0.0771061
0.1359441,-0.03896224,0.04370874,0.09417083,0.08976819,0.03590784,-0.002595242,-0.07376318,-0.002182623,0.1349661,0.07384108
0.1377265,-0.03720631,0.04441044,0.09205786,0.08771653,0.03477012,-0.001980585,-0.07058495,-0.001197444,0.1318249,0.07062288
0.1394786,-0.03549234,0.04509639,0.08995301,0.08552803,0.0336213,-0.004380629,-0.06743247,0.001867858,0.1285962,0.06760042
0.1412001,-0.03382029,0.0457661,0.08784228,0.08333932,0.03245157,-0.006760845,-0.06431151,0.004898832,0.1253587,0.0648512
0.1428905,-0.03219015,0.04641894,0.08571389,0.08115019,0.03125185,-0.009121551,-0.06122138,0.007896276,0.122102,0.06239881
0.1445491,-0.0306019,0.04705406,0.08355618,0.07896037,0.03001313,-0.01146284,-0.05816211,0.01086016,0.1188157,0.06026749
0.1461749,-0.02905577,0.04767051,0.08135763,0.07676966,0.02872647,-0.01378478,-0.05513317,0.01379095,0.1154896,0.05847972
0.1477594,-0.02757698,0.04826263,0.07912593,0.07336576,0.0273905,-0.01457679,-0.05550642,0.01498594,0.1113269,0.05931293
0.1493014,-0.02616568,0.04882923,0.07683782,0.06996061,0.02599493,-0.01536181,-0.05587574,0.01616829,0.107118,0.06016225
0.1507995,-0.02482192,0.04936901,0.0744888,0.06655402,0.02453665,-0.01614029,-0.05624136,0.01733844,0.1028595,0.0610264
0.1522526,-0.02354567,0.04988068,0.07207446,0.06314592,0.02301255,-0.01691204,-0.05660326,0.018496,0.09854802,0.06190354
0.1536591,-0.02233697,0.05036281,0.0695904,0.05973612,0.02141958,-0.01767738,-0.05696131,0.01964114,0.09418081,0.06279216
0.1550058,-0.02121964,0.05080993,0.0670521,0.05518921,0.01976363,-0.0170522,-0.05826985,0.01698851,0.08906421,0.06304572
0.1562913,-0.02019383,0.05122066,0.06445048,0.05064061,0.0180384,-0.01642958,-0.05956599,0.01436396,0.08392687,0.06343786
0.1575148,-0.01925948,0.05159366,0.06179574,0.0460905,0.01624611,-0.01580972,-0.06084996,0.01176663,0.07878441,0.06396185
