x,y,z,vx,vy,vz,ax,ay,az,v_mag,a_mag
0,0,0,0,0,0,0,0,0,0,0
8.881784E-16,-0.003924042,7.450581E-09,0,-0.1962,0,0,0,0,0.1962,0
1.885333E-06,-0.007871911,-2.560392E-05,0,-0.1970704,0,0.00842688,-0.01077465,0.00333506,0.1970704,0.01407935
2.141474E-05,-0.01184326,-7.875636E-05,0.0007879743,-0.1979284,-0.0001085181,0.01676891,-0.02144152,0.006636895,0.19793,0.02801755
5.808537E-05,-0.01583815,-0.0001578704,0.001549993,-0.1987864,-0.0001515362,0.02502777,-0.03200168,0.009905728,0.1987925,0.04181651
0.0001111547,-0.0198563,-0.0002607629,0.002273219,-0.1996445,-9.681757E-05,0.03320431,-0.04245624,0.01314199,0.1996575,0.05547765
0.0001847155,-0.02387266,-0.0003379583,0.002944436,-0.1998267,8.865632E-05,0.02597869,-0.04001639,0.01482888,0.1998484,0.04996098
0.0002774885,-0.02788708,-0.0003876612,0.00355722,-0.2000091,0.0003758423,0.01882308,-0.03760386,0.01649453,0.2000411,0.04517109
0.0003880668,-0.03189979,-0.0004085749,0.004104993,-0.2001917,0.0007366509,0.01173704,-0.03521843,0.01813936,0.2002352,0.04131745
0.0005149171,-0.03591076,-0.0004000142,0.004581289,-0.2003746,0.001143265,0.004719674,-0.03285976,0.01976327,0.2004302,0.03863452
0.0006563824,-0.03992019,-0.0003617816,0.004979745,-0.2005576,0.001568143,-0.002229285,-0.03052755,0.0213665,0.2006256,0.03732866
0.0007840726,-0.04392976,-0.0003149286,0.005293667,-0.2005671,0.001984505,-0.002320731,-0.02683113,0.01385478,0.2006468,0.03028614
0.0008970948,-0.04793938,-0.0002597012,0.005552933,-0.2005767,0.002391484,-0.002408586,-0.02317208,0.00641781,0.2006678,0.02416474
0.0009951403,-0.05194925,-0.0001962781,0.005786766,-0.2005863,0.002788757,-0.002492369,-0.01954984,-0.0009448618,0.2006892,0.01973072
0.001078476,-0.05595925,-0.0001248792,0.006024098,-0.2005959,0.00317603,-0.00257238,-0.01596429,-0.008234008,0.2007115,0.01814592
0.00114794,-0.05996939,-4.573539E-05,0.006293569,-0.2006054,0.003553035,-0.002648621,-0.01241489,-0.01545063,0.2007355,0.01999667
0.001215848,-0.06396282,2.770871E-05,0.006621119,-0.1996088,0.003922128,0.001647755,-0.01766224,-0.01680798,0.1997571,0.02443723
0.00128361,-0.06793951,9.569898E-05,0.007014773,-0.198612,0.004297563,0.005899989,-0.02285833,-0.01815032,0.1987823,0.0297783
0.001352746,-0.07189944,0.0001588129,0.007479765,-0.1976152,0.004696095,0.01010872,-0.02800404,-0.01947789,0.1978124,0.03557809
0.001424877,-0.07584255,0.000217963,0.008021257,-0.1966183,0.005134326,0.01427394,-0.03309962,-0.02079106,0.1968488,0.04161247
0.001501735,-0.07976877,0.0002743565,0.008644341,-0.1956216,0.005628704,0.01839636,-0.03814564,-0.02208958,0.1958933,0.04776469
0.001594114,-0.08366276,0.0003446564,0.009353758,-0.1940464,0.006197609,0.01754436,-0.03588538,-0.02222367,0.1943706,0.04571057
0.001703745,-0.08752456,0.0004302375,0.01015054,-0.1924715,0.00683587,0.01670225,-0.03364717,-0.02235624,0.1928602,0.04371382
0.001832365,-0.09135423,0.0005324036,0.0110352,-0.1908969,0.00754022,0.01586953,-0.03143107,-0.02248744,0.1913642,0.04177845
0.001981727,-0.09515162,0.0006523691,0.01200825,-0.1893226,0.008307419,0.01504623,-0.02923661,-0.02261698,0.1898849,0.03990859
0.002153589,-0.09891696,0.0007913373,0.01307021,-0.1877487,0.009134255,0.01423237,-0.02706382,-0.02274535,0.1884246,0.03810987
0.002357554,-0.1026383,0.0009660497,0.01422231,-0.1857743,0.01001963,0.008283582,-0.02839451,-0.01944547,0.1865871,0.03539763
0.002595045,-0.1063158,0.001176991,0.01545087,-0.1838002,0.01093805,0.002392093,-0.02971013,-0.0161821,0.1847725,0.03391569
0.002867223,-0.1099496,0.00142419,0.01674294,-0.1818263,0.01186623,-0.003442846,-0.03101085,-0.01295503,0.1829807,0.033784
0.003174995,-0.1135395,0.001707211,0.01808569,-0.1798525,0.01278108,-0.009221657,-0.03229694,-0.009763736,0.1812108,0.03497802
0.00351901,-0.1170857,0.002025168,0.01946647,-0.1778785,0.01365975,-0.01494516,-0.0335685,-0.006607811,0.1794612,0.03733451
0.003900236,-0.1205839,0.002366122,0.02087383,-0.1755588,0.01448126,-0.01709431,-0.03043088,-0.004394256,0.1773875,0.03517902
0.004318916,-0.1240342,0.002728701,0.02229806,-0.1732388,0.01523528,-0.01922278,-0.02732377,-0.002205266,0.1753311,0.03348084
0.00477512,-0.1274364,0.003111288,0.02373059,-0.1709186,0.01591332,-0.02133106,-0.02424667,-4.048612E-05,0.1732903,0.03229422
0.005268753,-0.1307908,0.003512178,0.02516289,-0.168598,0.01650698,-0.02341927,-0.02119958,0.002100657,0.1712627,0.03165908
